"Städte nach Fläche, Bevölkerung und Bevölkerungsdichte am 31.12.2024 (Jahr)",,,,,,,,
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ männlich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ weiblich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
1,110000000000,"Berlin, Stadt",10178,  891.12,3 685 265,1 810 259,1 875 006,4 136
2,020000000000,"Hamburg, Freie und Hansestadt",20038,  755.09,1 862 565, 911 888, 950 677,2 467
3,091620000000,"München, Landeshauptstadt",80313,  310.70,1 505 005, 737 442, 767 563,4 844
4,053150000000,"Köln, Stadt",50667,  405.02,1 024 621, 498 050, 526 571,2 530
5,064120000000,"Frankfurt am Main, Stadt",60311,  248.31, 756 021, 371 235, 384 786,3 045
6,051110000000,"Düsseldorf, Stadt",40213,  217.41, 618 685, 299 070, 319 615,2 846
7,081110000000,"Stuttgart, Landeshauptstadt",70173,  207.33, 612 663, 304 725, 307 938,2 955
8,147130000000,"Leipzig, Stadt",04109,  297.80, 611 850, 301 582, 310 268,2 055
9,059130000000,"Dortmund, Stadt",44135,  280.71, 603 462, 297 860, 305 602,2 150
10,040110000000,"Bremen, Stadt",28195,  318.20, 586 271, 289 585, 296 686,1 842
11,051130000000,"Essen, Stadt",45121,  210.34, 574 682, 279 666, 295 016,2 732
12,146120000000,"Dresden, Stadt",01067,  328.48, 564 904, 280 262, 284 642,1 720
13,095640000000,Nürnberg,90403,  186.44, 529 508, 260 358, 269 150,2 840
14,032410001001,"Hannover, Landeshauptstadt",30159,  204.30, 522 131, 256 255, 265 876,2 556
15,051120000000,"Duisburg, Stadt",47051,  232.84, 502 270, 249 294, 252 976,2 157
16,059110000000,"Bochum, Stadt",44787,  145.66, 358 676, 176 530, 182 146,2 462
17,051240000000,"Wuppertal, Stadt",42275,  168.39, 358 193, 176 780, 181 413,2 127
18,057110000000,"Bielefeld, Stadt",33602,  258.83, 331 605, 161 011, 170 594,1 281
19,053140000000,"Bonn, Stadt",53111,  141.06, 323 336, 155 766, 167 570,2 292
20,082220000000,"Mannheim, Universitätsstadt",68159,  144.97, 318 035, 159 246, 158 789,2 194
21,082120000000,"Karlsruhe, Stadt",76133,  173.42, 309 050, 156 995, 152 055,1 782
22,055150000000,"Münster, Stadt",48143,  303.28, 308 258, 147 463, 160 795,1 016
23,097610000000,Augsburg,86150,  146.85, 301 105, 148 796, 152 309,2 050
24,064140000000,"Wiesbaden, Landeshauptstadt",65183,  203.87, 288 850, 139 893, 148 957,1 417
25,055130000000,"Gelsenkirchen, Stadt",45879,  104.94, 267 930, 132 550, 135 380,2 553
26,051160000000,"Mönchengladbach, Stadt",41061,  170.47, 267 213, 132 876, 134 337,1 568
27,053340002002,"Aachen, Stadt",52058,  160.85, 262 670, 137 292, 125 378,1 633
28,031010000000,"Braunschweig, Stadt",38100,  192.70, 252 962, 125 170, 127 792,1 313
29,010020000000,"Kiel, Landeshauptstadt",24103,  118.65, 252 668, 123 532, 129 136,2 130
